"1956,0.9,0.4,1.4"
"1957,0.9,0.5,1.4"
"1958,0.9,0.5,1.3"
"1959,0.9,0.5,1.3"
"1960,1.0,0.6,1.4"
"1961,1.0,0.6,1.3"
"1962,0.9,0.6,1.3"
"1963,1.0,0.6,1.4"
"1964,1.0,0.6,1.4"
"1965,1.0,0.7,1.4"
"1966,1.2,0.8,1.5"
"1967,1.3,0.9,1.6"
"1968,1.2,0.9,1.5"
"1969,1.3,1.1,1.6"
"1970,1.3,1.1,1.6"
"1971,1.4,1.2,1.6"
"1972,1.5,1.3,1.7"
"1973,1.5,1.3,1.6"
"1974,1.5,1.4,1.5"
"1975,1.6,1.5,1.7"
"1976,1.6,1.5,1.7"
"1977,1.6,1.5,1.6"
"1978,1.6,1.5,1.7"
"1979,1.5,1.5,1.4"
"1980,1.3,1.3,1.3"
"1981,1.3,1.3,1.3"
"1982,1.2,1.2,1.2"
"1983,1.1,1.1,1.1"
"1984,1.1,1.0,1.1"
"1985,1.0,1.0,1.0"
"1986,0.8,0.7,0.9"
"1987,0.8,0.7,0.8"
"1988,0.7,0.6,0.8"
